,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy
42259,19011100460058,ASP,2019-01-04,RES,blank,2000/12,4.38,854,650,5129,6738,blank,blank,5483295,19011100460058,1,39.0,O,2,blank,blank,TIN FU COURT,天富苑,TIN SAU RD,天秀路,15,blank,NTSW,TSWTL22,TIN FU COURT||Phase 2|Block O,天秀路TIN FU COURT|Phase2|BlockO,天秀路TIN FU COURT|Phase2|BlockO|39|1,天水圍,2000,20,blankblank,15 TIN SAU RD|天秀路,15 TIN SAU RD,15 天秀路,"天富苑O座,天秀路","TIN FU COURT(BLOCK O),TIN SAU RD","TIN FU COURT(Block O),TIN SAU RD|天富苑O座,天秀路",TIN SAU RDTIN FU COURTblankblank|Phase2|BlockO|39|1consid4.38,39
43729,20020302050211,ASP,2020-01-17,RES,blank,2021/03,5.6832,0,431,0,13186,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5668452,20020302050211,B5,6.0,21,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 21,濕地公園路WETLAND SEASONS PARK|Phase|Block21,濕地公園路WETLAND SEASONS PARK|Phase|Block21|6|B5,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank21座,濕地公園路","WETLAND SEASONS PARK(BLOCK 21),WETLAND PARK RD","WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|blank21座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block21|6|B5consid5.6832,6
43730,20020302120038,ASP,2020-01-10,RES,blank,2021/03,5.8381,0,429,0,13609,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5668463,20020302120038,A8,3.0,6,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 6,濕地公園路WETLAND SEASONS PARK|Phase|Block6,濕地公園路WETLAND SEASONS PARK|Phase|Block6|3|A8,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank6座,濕地公園路","WETLAND SEASONS PARK(BLOCK 6),WETLAND PARK RD","WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|blank6座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block6|3|A8consid5.8381,3
43731,20020302120048,ASP,2020-01-10,RES,blank,2021/03,5.6308,0,423,0,13312,blank,BW:3 SF (NE) / BAL:22 SF (NI) / ,5668464,20020302120048,B8,8.0,16,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 16,濕地公園路WETLAND SEASONS PARK|Phase|Block16,濕地公園路WETLAND SEASONS PARK|Phase|Block16|8|B8,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank16座,濕地公園路","WETLAND SEASONS PARK(BLOCK 16),WETLAND PARK RD","WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|blank16座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block16|8|B8consid5.6308,8
43732,20020302120052,ASP,2020-01-10,RES,blank,2021/03,5.9317,0,465,0,12756,blank,BW:2 SF (NE) / BAL:22 SF (NI) / UP:17 SF (NI) / ,5668465,20020302120052,A1,2.0,6,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 6,濕地公園路WETLAND SEASONS PARK|Phase|Block6,濕地公園路WETLAND SEASONS PARK|Phase|Block6|2|A1,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank6座,濕地公園路","WETLAND SEASONS PARK(BLOCK 6),WETLAND PARK RD","WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|blank6座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block6|2|A1consid5.9317,2
43733,20020302120060,ASP,2020-01-10,RES,blank,2021/03,6.1123,0,503,0,12152,blank,BW:3 SF (NE) / BAL:22 SF (NI) / UP:16 SF (NI) / ,5668466,20020302120060,A1,2.0,10,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 10,濕地公園路WETLAND SEASONS PARK|Phase|Block10,濕地公園路WETLAND SEASONS PARK|Phase|Block10|2|A1,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank10座,濕地公園路","WETLAND SEASONS PARK(BLOCK 10),WETLAND PARK RD","WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|blank10座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block10|2|A1consid6.1123,2
43734,20020302120070,ASP,2020-01-10,RES,blank,2021/03,5.869,0,465,0,12622,blank,BW:2 SF (NE) / BAL:22 SF (NI) / UP:16 SF (NI) / ,5668467,20020302120070,B1,2.0,10,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 10,濕地公園路WETLAND SEASONS PARK|Phase|Block10,濕地公園路WETLAND SEASONS PARK|Phase|Block10|2|B1,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank10座,濕地公園路","WETLAND SEASONS PARK(BLOCK 10),WETLAND PARK RD","WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|blank10座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block10|2|B1consid5.869,2
43735,20020302120089,ASP,2020-01-10,RES,blank,2021/03,5.505,0,430,0,12802,blank,BW:2 SF (NE) / BAL:22 SF (NI) / UP:16 SF (NI) / ,5668468,20020302120089,A6,7.0,16,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 16,濕地公園路WETLAND SEASONS PARK|Phase|Block16,濕地公園路WETLAND SEASONS PARK|Phase|Block16|7|A6,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank16座,濕地公園路","WETLAND SEASONS PARK(BLOCK 16),WETLAND PARK RD","WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|blank16座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block16|7|A6consid5.505,7
43736,20020302120092,ASP,2020-01-17,RES,blank,2007/11,8.8,1109,839,7935,10489,blank,BW:42 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5668469,20020302120092,E,11.0,1,1,blank,blank,CENTRAL PARK TOWERS,柏慧豪園,TIN YAN RD,天恩路,2,blank,NTSW,TSWTL24,CENTRAL PARK TOWERS||Phase 1|Block 1,天恩路CENTRAL PARK TOWERS|Phase1|Block1,天恩路CENTRAL PARK TOWERS|Phase1|Block1|11|E,天水圍,2007,13,blankblank,2 TIN YAN RD|天恩路,2 TIN YAN RD,2 天恩路,"柏慧豪園1座,天恩路","CENTRAL PARK TOWERS(BLOCK 1),TIN YAN RD","CENTRAL PARK TOWERS(Block 1),TIN YAN RD|柏慧豪園1座,天恩路",TIN YAN RDCENTRAL PARK TOWERSblankblank|Phase1|Block1|11|Econsid8.8,11
43737,20020302140050,ASP,2020-01-17,RES,blank,2021/03,5.4270000000000005,0,404,0,13433,blank,BW:3 SF (NE) / BAL:22 SF (NI) / ,5668478,20020302140050,B2,3.0,17,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 17,濕地公園路WETLAND SEASONS PARK|Phase|Block17,濕地公園路WETLAND SEASONS PARK|Phase|Block17|3|B2,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank17座,濕地公園路","WETLAND SEASONS PARK(BLOCK 17),WETLAND PARK RD","WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|blank17座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block17|3|B2consid5.4270000000000005,3
43738,20020302140069,ASP,2020-01-17,RES,blank,2021/03,5.5261,0,404,0,13678,blank,BW:3 SF (NE) / BAL:22 SF (NI) / ,5668479,20020302140069,B2,6.0,17,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 17,濕地公園路WETLAND SEASONS PARK|Phase|Block17,濕地公園路WETLAND SEASONS PARK|Phase|Block17|6|B2,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank17座,濕地公園路","WETLAND SEASONS PARK(BLOCK 17),WETLAND PARK RD","WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|blank17座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block17|6|B2consid5.5261,6
43739,20020302140078,ASP,2020-01-17,RES,blank,2021/03,5.2838,0,430,0,12288,blank,BAL:22 SF (NI) / UP:17 SF (NI) / ,5668480,20020302140078,A8,6.0,17,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 17,濕地公園路WETLAND SEASONS PARK|Phase|Block17,濕地公園路WETLAND SEASONS PARK|Phase|Block17|6|A8,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank17座,濕地公園路","WETLAND SEASONS PARK(BLOCK 17),WETLAND PARK RD","WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|blank17座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block17|6|A8consid5.2838,6
43740,20020302140080,ASP,2020-01-17,RES,blank,2021/03,5.1154,0,418,0,12238,blank,BW:2 SF (NE) / BAL:22 SF (NI) / UP:16 SF (NI) / ,5668481,20020302140080,A2,2.0,17,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 17,濕地公園路WETLAND SEASONS PARK|Phase|Block17,濕地公園路WETLAND SEASONS PARK|Phase|Block17|2|A2,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank17座,濕地公園路","WETLAND SEASONS PARK(BLOCK 17),WETLAND PARK RD","WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|blank17座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block17|2|A2consid5.1154,2
43741,20020302140092,ASP,2020-01-17,RES,blank,2021/03,5.5699,0,424,0,13137,blank,BW:2 SF (NE) / BAL:22 SF (NI) / UP:16 SF (NI) / ,5668482,20020302140092,A8,9.0,16,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 16,濕地公園路WETLAND SEASONS PARK|Phase|Block16,濕地公園路WETLAND SEASONS PARK|Phase|Block16|9|A8,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank16座,濕地公園路","WETLAND SEASONS PARK(BLOCK 16),WETLAND PARK RD","WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|blank16座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block16|9|A8consid5.5699,9
43742,20020302140113,ASP,2020-01-10,RES,blank,2021/03,5.5737,0,495,0,11260,blank,BW:3 SF (NE) / BAL:22 SF (NI) / UP:16 SF (NI) / ,5668484,20020302140113,A1,1.0,17,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 17,濕地公園路WETLAND SEASONS PARK|Phase|Block17,濕地公園路WETLAND SEASONS PARK|Phase|Block17|1|A1,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank17座,濕地公園路","WETLAND SEASONS PARK(BLOCK 17),WETLAND PARK RD","WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|blank17座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block17|1|A1consid5.5737,1
43743,20020302140127,ASP,2020-01-10,RES,blank,2021/03,6.0791,0,487,0,12483,blank,BW:3 SF (NE) / BAL:22 SF (NI) / ,5668485,20020302140127,B2,5.0,10,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 10,濕地公園路WETLAND SEASONS PARK|Phase|Block10,濕地公園路WETLAND SEASONS PARK|Phase|Block10|5|B2,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank10座,濕地公園路","WETLAND SEASONS PARK(BLOCK 10),WETLAND PARK RD","WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|blank10座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block10|5|B2consid6.0791,5
43744,20020302140139,ASP,2020-01-10,RES,blank,2021/03,5.5635,0,423,0,13152,blank,BW:3 SF (NE) / BAL:22 SF (NI) / ,5668486,20020302140139,B8,6.0,16,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 16,濕地公園路WETLAND SEASONS PARK|Phase|Block16,濕地公園路WETLAND SEASONS PARK|Phase|Block16|6|B8,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank16座,濕地公園路","WETLAND SEASONS PARK(BLOCK 16),WETLAND PARK RD","WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|blank16座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block16|6|B8consid5.5635,6
43745,20020302140149,ASP,2020-01-10,RES,blank,2021/03,6.0061,0,487,0,12333,blank,BW:3 SF (NE) / BAL:22 SF (NI) / ,5668487,20020302140149,B2,3.0,10,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 10,濕地公園路WETLAND SEASONS PARK|Phase|Block10,濕地公園路WETLAND SEASONS PARK|Phase|Block10|3|B2,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank10座,濕地公園路","WETLAND SEASONS PARK(BLOCK 10),WETLAND PARK RD","WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|blank10座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block10|3|B2consid6.0061,3
43746,20020302140158,ASP,2020-01-10,RES,blank,2021/03,5.5966,0,427,0,13107,blank,BW:2 SF (NE) / BAL:22 SF (NI) / UP:16 SF (NI) / ,5668488,20020302140158,A2,3.0,6,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 6,濕地公園路WETLAND SEASONS PARK|Phase|Block6,濕地公園路WETLAND SEASONS PARK|Phase|Block6|3|A2,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank6座,濕地公園路","WETLAND SEASONS PARK(BLOCK 6),WETLAND PARK RD","WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|blank6座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block6|3|A2consid5.5966,3
43747,20020302140160,ASP,2020-01-10,RES,blank,2021/03,5.6357,0,484,0,11644,blank,BAL:22 SF (NI) / ,5668489,20020302140160,B5,7.0,16,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 16,濕地公園路WETLAND SEASONS PARK|Phase|Block16,濕地公園路WETLAND SEASONS PARK|Phase|Block16|7|B5,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank16座,濕地公園路","WETLAND SEASONS PARK(BLOCK 16),WETLAND PARK RD","WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|blank16座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block16|7|B5consid5.6357,7
43748,20020302140215,ASP,2020-01-10,RES,blank,2021/03,7.4179,0,696,0,10658,blank,BW:5 SF (NE) / BAL:22 SF (NI) / UP:16 SF (NI) / ,5668490,20020302140215,A1,1.0,21,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 21,濕地公園路WETLAND SEASONS PARK|Phase|Block21,濕地公園路WETLAND SEASONS PARK|Phase|Block21|1|A1,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank21座,濕地公園路","WETLAND SEASONS PARK(BLOCK 21),WETLAND PARK RD","WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|blank21座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block21|1|A1consid7.4179,1
43749,20020302140225,ASP,2020-01-10,RES,blank,2021/03,8.595,0,431,0,19942,blank,BW:3 SF (NE) / BAL:22 SF (NI) / ,5668491,20020302140225,B3,9.0,21,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 21,濕地公園路WETLAND SEASONS PARK|Phase|Block21,濕地公園路WETLAND SEASONS PARK|Phase|Block21|9|B3,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank21座,濕地公園路","WETLAND SEASONS PARK(BLOCK 21),WETLAND PARK RD","WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|blank21座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block21|9|B3consid8.595,9
43750,20020302140235,ASP,2020-01-10,RES,blank,2021/03,5.4265,0,425,0,12768,blank,BW:3 SF (NE) / BAL:22 SF (NI) / ,5668492,20020302140235,B1,8.0,21,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 21,濕地公園路WETLAND SEASONS PARK|Phase|Block21,濕地公園路WETLAND SEASONS PARK|Phase|Block21|8|B1,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank21座,濕地公園路","WETLAND SEASONS PARK(BLOCK 21),WETLAND PARK RD","WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|blank21座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block21|8|B1consid5.4265,8
43751,20020302140246,ASP,2020-01-10,RES,blank,2021/03,14.4576,0,1075,0,13449,blank,GDN:696 SF / ,5668493,20020302140246,B,,V9,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block V9,濕地公園路WETLAND SEASONS PARK|Phase|BlockV9,濕地公園路WETLAND SEASONS PARK|Phase|BlockV9|G|B,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blankV9座,濕地公園路","WETLAND SEASONS PARK(BLOCK V9),WETLAND PARK RD","WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|blankV9座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|BlockV9|G|Bconsid14.4576,G
43752,20020302140251,ASP,2020-01-10,RES,blank,2021/03,9.5709,0,767,0,12478,blank,BAL:21 SF (NI) / ,5668494,20020302140251,B,2.0,V8,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block V8,濕地公園路WETLAND SEASONS PARK|Phase|BlockV8,濕地公園路WETLAND SEASONS PARK|Phase|BlockV8|2|B,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blankV8座,濕地公園路","WETLAND SEASONS PARK(BLOCK V8),WETLAND PARK RD","WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|blankV8座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|BlockV8|2|Bconsid9.5709,2
43753,20020302140260,ASP,2020-01-10,RES,blank,2021/03,5.5691,0,432,0,12891,blank,BW:3 SF (NE) / BAL:22 SF (NI) / ,5668495,20020302140260,B3,9.0,20,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 20,濕地公園路WETLAND SEASONS PARK|Phase|Block20,濕地公園路WETLAND SEASONS PARK|Phase|Block20|9|B3,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank20座,濕地公園路","WETLAND SEASONS PARK(BLOCK 20),WETLAND PARK RD","WETLAND SEASONS PARK(Block 20),WETLAND PARK RD|blank20座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block20|9|B3consid5.5691,9
43754,20020302140277,ASP,2020-01-10,RES,blank,2021/03,14.1682,0,1068,0,13266,blank,GDN:631 SF / ,5668496,20020302140277,B,,V8,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block V8,濕地公園路WETLAND SEASONS PARK|Phase|BlockV8,濕地公園路WETLAND SEASONS PARK|Phase|BlockV8|G|B,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blankV8座,濕地公園路","WETLAND SEASONS PARK(BLOCK V8),WETLAND PARK RD","WETLAND SEASONS PARK(Block V8),WETLAND PARK RD|blankV8座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|BlockV8|G|Bconsid14.1682,G
43755,20020302140286,ASP,2020-01-10,RES,blank,2021/03,8.5955,0,541,0,15888,blank,BW:3 SF (NE) / BAL:22 SF (NI) / UP:16 SF (NI) / ,5668497,20020302140286,A2,9.0,20,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 20,濕地公園路WETLAND SEASONS PARK|Phase|Block20,濕地公園路WETLAND SEASONS PARK|Phase|Block20|9|A2,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank20座,濕地公園路","WETLAND SEASONS PARK(BLOCK 20),WETLAND PARK RD","WETLAND SEASONS PARK(Block 20),WETLAND PARK RD|blank20座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block20|9|A2consid8.5955,9
43756,20020302140293,ASP,2020-01-17,RES,blank,2021/03,6.5258,0,515,0,12671,blank,BW:2 SF (NE) / BAL:22 SF (NI) / ,5668498,20020302140293,B1,3.0,16,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 16,濕地公園路WETLAND SEASONS PARK|Phase|Block16,濕地公園路WETLAND SEASONS PARK|Phase|Block16|3|B1,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank16座,濕地公園路","WETLAND SEASONS PARK(BLOCK 16),WETLAND PARK RD","WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|blank16座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block16|3|B1consid6.5258,3
43757,20020302140307,ASP,2020-01-17,RES,blank,2021/03,9.5191,0,700,0,13599,blank,BW:3 SF (NE) / BAL:22 SF (NI) / UP:16 SF (NI) / ,5668499,20020302140307,A1,7.0,22,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 22,濕地公園路WETLAND SEASONS PARK|Phase|Block22,濕地公園路WETLAND SEASONS PARK|Phase|Block22|7|A1,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank22座,濕地公園路","WETLAND SEASONS PARK(BLOCK 22),WETLAND PARK RD","WETLAND SEASONS PARK(Block 22),WETLAND PARK RD|blank22座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block22|7|A1consid9.5191,7
43758,20020302140469,ASP,2020-01-17,RES,blank,2021/03,7.8247,0,432,0,18113,blank,BW:3 SF (NE) / BAL:22 SF (NI) / ,5668502,20020302140469,B3,2.0,20,blank,blank,blank,WETLAND SEASONS PARK,blank,WETLAND PARK RD,濕地公園路,9,blank,NTSW,TSWTL34,WETLAND SEASONS PARK||Phase |Block 20,濕地公園路WETLAND SEASONS PARK|Phase|Block20,濕地公園路WETLAND SEASONS PARK|Phase|Block20|2|B3,天水圍,2021,-1,blankblank,9 WETLAND PARK RD|濕地公園路,9 WETLAND PARK RD,9 濕地公園路,"blank20座,濕地公園路","WETLAND SEASONS PARK(BLOCK 20),WETLAND PARK RD","WETLAND SEASONS PARK(Block 20),WETLAND PARK RD|blank20座,濕地公園路",WETLAND PARK RDWETLAND SEASONS PARKblankblank|Phaseblank|Block20|2|B3consid7.8247,2
