,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address_en,st_address_ch,st_addr_google,st_address,ch_address,en_address,ch_addr_google,en_addr_google,final_address,final_address_consid,floor_copy,time_adj_npsf
1288,7020102620025,ASP,2007-01-19,RES,blank,1990/11,20.5,1993,1662,10286,12334.53670276775,CPS 20 ON CPL3/F ,blank,2056726,7020102620025,1,18.0,B,blank,blank,,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,8,blank,HP,IL8666,NICHOLSON TOWER||Phase |Block B,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB|18|1,山頂,1990,30,,8 WONG NAI CHUNG GAP RD,8 黃泥涌峽道,"8 WONG NAI CHUNG GAP RD,Hong Kong",8 WONG NAI CHUNG GAP RD|8 黃泥涌峽道,"蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD","蔚豪苑,B座,黃泥涌峽道,香港","NICHOLSON TOWER,Block B,WONG NAI CHUNG GAP RD,Hong Kong","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道|18|1consid20.5",18,39524.22037012627
1292,7021302140011,ASP,2007-02-08,RES,blank,1965/04,27.5,0,2590,0,10617.760617760618,+CPS 216 ,blank,2064487,7021302140011,2,3.0,A,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550,VILLA MONTE ROSA||Phase |Block A,司徒拔道VILLA MONTE ROSA|Phase|BlockA,司徒拔道VILLA MONTE ROSA|Phase|BlockA|3|2,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD","玫瑰新村,A座,司徒拔道,香港","VILLA MONTE ROSA,Block A,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道|3|2consid27.5",3,33986.02774767773
1293,7021501050039,ASP,2007-01-31,RES,blank,1971/11,30.68,0,2030,0,15113.300492610837,CPS B6 ,blank,2067396,7021501050039,B2,1.0,blank,blank,GUILDFORD COURT,GUILDFORD COURT,blank,,GUILDFORD RD,僑福道,5,blank,HP,RBL874,|GUILDFORD COURT|Phase |Block ,僑福道GUILDFORD COURT|Phase|Block,僑福道GUILDFORD COURT|Phase|Block|1|B2,山頂,1971,49,GUILDFORD COURTGUILDFORD COURT,5 GUILDFORD RD,5 僑福道,"5 GUILDFORD RD,Hong Kong",5 GUILDFORD RD|5 僑福道,"GUILDFORD COURT,僑福道","GUILDFORD COURT,GUILDFORD RD","GUILDFORD COURT,僑福道,香港","GUILDFORD COURT,GUILDFORD RD,Hong Kong","GUILDFORD COURT,GUILDFORD RD|GUILDFORD COURT,僑福道","GUILDFORD COURT,GUILDFORD RD|GUILDFORD COURT,僑福道|1|B2consid30.68",1,48428.362863102186
1296,7030201070053,ASP,2007-02-15,RES,blank,1990/11,21.9,1993,1662,10988,13176.895306859205,CPS 33 ON CPL1/F ,blank,2076997,7030201070053,1,23.0,B,blank,blank,,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,8,blank,HP,IL8666,NICHOLSON TOWER||Phase |Block B,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB|23|1,山頂,1990,30,,8 WONG NAI CHUNG GAP RD,8 黃泥涌峽道,"8 WONG NAI CHUNG GAP RD,Hong Kong",8 WONG NAI CHUNG GAP RD|8 黃泥涌峽道,"蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD","蔚豪苑,B座,黃泥涌峽道,香港","NICHOLSON TOWER,Block B,WONG NAI CHUNG GAP RD,Hong Kong","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道|23|1consid21.9",23,42177.47467183084
1297,7030301170093,ASP,2007-02-09,RES,blank,1965/10,40.0,0,2980,0,13422.818791946309,CPS 4A ,blank,2078473,7030301170093,A,4.0,blank,blank,EREDINE,七重天大廈,blank,,MOUNT KELLETT RD,加列山道,38,blank,HP,RBL587,|EREDINE七重天大廈|Phase |Block ,加列山道EREDINE七重天大廈|Phase|Block,加列山道EREDINE七重天大廈|Phase|Block|4|A,山頂,1965,55,EREDINE七重天大廈,38 MOUNT KELLETT RD,38 加列山道,"38 MOUNT KELLETT RD,Hong Kong",38 MOUNT KELLETT RD|38 加列山道,"七重天大廈,加列山道","EREDINE,MOUNT KELLETT RD","七重天大廈,加列山道,香港","EREDINE,MOUNT KELLETT RD,Hong Kong","EREDINE,MOUNT KELLETT RD|七重天大廈,加列山道","EREDINE,MOUNT KELLETT RD|七重天大廈,加列山道|4|Aconsid40.0",4,42964.64276582566
1300,7030601420084,ASP,2007-02-06,RES,blank,1972/03,28.0,2547,2280,10993,12280.701754385966,CPS 332CPS G109G111 ON G/F ,blank,2079421,7030601420084,2,16.0,C,blank,blank,,EVERGREEN VILLA,松柏新村,STUBBS RD,司徒拔道,43,blank,HP,IL7891,EVERGREEN VILLA||Phase |Block C,司徒拔道EVERGREEN VILLA|Phase|BlockC,司徒拔道EVERGREEN VILLA|Phase|BlockC|16|2,山頂,1972,48,,43 STUBBS RD,43 司徒拔道,"43 STUBBS RD,Hong Kong",43 STUBBS RD|43 司徒拔道,"松柏新村C座,司徒拔道","EVERGREEN VILLA(Block C),STUBBS RD","松柏新村,C座,司徒拔道,香港","EVERGREEN VILLA,Block C,STUBBS RD,Hong Kong","EVERGREEN VILLA(Block C),STUBBS RD|松柏新村C座,司徒拔道","EVERGREEN VILLA(Block C),STUBBS RD|松柏新村C座,司徒拔道|16|2consid28.0",16,39308.879302417685
1302,7030902520040,PRO-ASP,2007-02-23,RES,blank,1965/04,31.0,0,2920,0,10616.438356164384,blank,blank,2081743,7030902520040,1,3.0,F,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550SA,VILLA MONTE ROSA||Phase |Block F,司徒拔道VILLA MONTE ROSA|Phase|BlockF,司徒拔道VILLA MONTE ROSA|Phase|BlockF|3|1,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村F座,司徒拔道","VILLA MONTE ROSA(Block F),STUBBS RD","玫瑰新村,F座,司徒拔道,香港","VILLA MONTE ROSA,Block F,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block F),STUBBS RD|玫瑰新村F座,司徒拔道","VILLA MONTE ROSA(Block F),STUBBS RD|玫瑰新村F座,司徒拔道|3|1consid31.0",3,33981.795365641905
1304,7031501610051,PRO-ASP,2007-02-17,RES,blank,1970/11,31.8,2600,2380,12231,13361.344537815126,+BALCPS 222 ON 2/F ,blank,2085712,7031501610051,1,18.0,B,blank,blank,,EVERGREEN VILLA,松柏新村,STUBBS RD,司徒拔道,43,blank,HP,IL7891,EVERGREEN VILLA||Phase |Block B,司徒拔道EVERGREEN VILLA|Phase|BlockB,司徒拔道EVERGREEN VILLA|Phase|BlockB|18|1,山頂,1970,50,,43 STUBBS RD,43 司徒拔道,"43 STUBBS RD,Hong Kong",43 STUBBS RD|43 司徒拔道,"松柏新村B座,司徒拔道","EVERGREEN VILLA(Block B),STUBBS RD","松柏新村,B座,司徒拔道,香港","EVERGREEN VILLA,Block B,STUBBS RD,Hong Kong","EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道","EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道|18|1consid31.8",18,42767.87192290655
1305,7031601150013,ASP,2007-02-28,RES,blank,1972/09,18.992,0,2213,0,8582.015363759603,CPS 14 ,blank,2086380,7031601150013,B,8.0,blank,blank,MOUNTAIN LODGE,崑廬,blank,,MOUNT KELLETT RD,加列山道,44,blank,HP,RBL199,|MOUNTAIN LODGE崑廬|Phase |Block ,加列山道MOUNTAIN LODGE崑廬|Phase|Block,加列山道MOUNTAIN LODGE崑廬|Phase|Block|8|B,山頂,1972,48,MOUNTAIN LODGE崑廬,44 MOUNT KELLETT RD,44 加列山道,"44 MOUNT KELLETT RD,Hong Kong",44 MOUNT KELLETT RD|44 加列山道,"崑廬,加列山道","MOUNTAIN LODGE,MOUNT KELLETT RD","崑廬,加列山道,香港","MOUNTAIN LODGE,MOUNT KELLETT RD,Hong Kong","MOUNTAIN LODGE,MOUNT KELLETT RD|崑廬,加列山道","MOUNTAIN LODGE,MOUNT KELLETT RD|崑廬,加列山道|8|Bconsid18.992",8,27469.880211449523
1306,7031601150023,ASP,2007-02-28,RES,blank,1972/09,18.118,0,2213,0,8187.076366922729,CPS 1 ,blank,2086381,7031601150023,B,9.0,blank,blank,MOUNTAIN LODGE,崑廬,blank,,MOUNT KELLETT RD,加列山道,44,blank,HP,RBL199,|MOUNTAIN LODGE崑廬|Phase |Block ,加列山道MOUNTAIN LODGE崑廬|Phase|Block,加列山道MOUNTAIN LODGE崑廬|Phase|Block|9|B,山頂,1972,48,MOUNTAIN LODGE崑廬,44 MOUNT KELLETT RD,44 加列山道,"44 MOUNT KELLETT RD,Hong Kong",44 MOUNT KELLETT RD|44 加列山道,"崑廬,加列山道","MOUNTAIN LODGE,MOUNT KELLETT RD","崑廬,加列山道,香港","MOUNTAIN LODGE,MOUNT KELLETT RD,Hong Kong","MOUNTAIN LODGE,MOUNT KELLETT RD|崑廬,加列山道","MOUNTAIN LODGE,MOUNT KELLETT RD|崑廬,加列山道|9|Bconsid18.118",9,26205.733449401978
1307,7031900900061,ASP,2007-03-01,RES,blank,1970/11,29.38,2600,2380,11300,12344.53781512605,blank,blank,2086578,7031900900061,1,10.0,B,blank,blank,,EVERGREEN VILLA,松柏新村,STUBBS RD,司徒拔道,43,blank,HP,IL7891,EVERGREEN VILLA||Phase |Block B,司徒拔道EVERGREEN VILLA|Phase|BlockB,司徒拔道EVERGREEN VILLA|Phase|BlockB|10|1,山頂,1970,50,,43 STUBBS RD,43 司徒拔道,"43 STUBBS RD,Hong Kong",43 STUBBS RD|43 司徒拔道,"松柏新村B座,司徒拔道","EVERGREEN VILLA(Block B),STUBBS RD","松柏新村,B座,司徒拔道,香港","EVERGREEN VILLA,Block B,STUBBS RD,Hong Kong","EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道","EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道|10|1consid29.38",10,38099.58123237125
1308,7032100520028,ASP,2007-03-13,RES,blank,1972/08,16.28,1720,1520,9465,10710.526315789475,CPS 211 ,blank,2089001,7032100520028,2,14.0,F,blank,blank,,EVERGREEN VILLA,松柏新村,STUBBS RD,司徒拔道,43,blank,HP,IL7891,EVERGREEN VILLA||Phase |Block F,司徒拔道EVERGREEN VILLA|Phase|BlockF,司徒拔道EVERGREEN VILLA|Phase|BlockF|14|2,山頂,1972,48,,43 STUBBS RD,43 司徒拔道,"43 STUBBS RD,Hong Kong",43 STUBBS RD|43 司徒拔道,"松柏新村F座,司徒拔道","EVERGREEN VILLA(Block F),STUBBS RD","松柏新村,F座,司徒拔道,香港","EVERGREEN VILLA,Block F,STUBBS RD,Hong Kong","EVERGREEN VILLA(Block F),STUBBS RD|松柏新村F座,司徒拔道","EVERGREEN VILLA(Block F),STUBBS RD|松柏新村F座,司徒拔道|14|2consid16.28",14,33056.447598212835
1309,7032101910022,ASP,2007-03-08,RES,blank,1965/04,32.0,0,2920,0,10958.90410958904,blank,blank,2088545,7032101910022,2,3.0,F,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550SA,VILLA MONTE ROSA||Phase |Block F,司徒拔道VILLA MONTE ROSA|Phase|BlockF,司徒拔道VILLA MONTE ROSA|Phase|BlockF|3|2,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村F座,司徒拔道","VILLA MONTE ROSA(Block F),STUBBS RD","玫瑰新村,F座,司徒拔道,香港","VILLA MONTE ROSA,Block F,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block F),STUBBS RD|玫瑰新村F座,司徒拔道","VILLA MONTE ROSA(Block F),STUBBS RD|玫瑰新村F座,司徒拔道|3|2consid32.0",3,33823.02874308068
1313,7041401620014,ASP,2007-04-04,RES,blank,1965/04,19.9,0,2138,0,9307.76426566885,CPS 272 ,blank,2105420,7041401620014,1,11.0,B,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550,VILLA MONTE ROSA||Phase |Block B,司徒拔道VILLA MONTE ROSA|Phase|BlockB,司徒拔道VILLA MONTE ROSA|Phase|BlockB|11|1,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村B座,司徒拔道","VILLA MONTE ROSA(Block B),STUBBS RD","玫瑰新村,B座,司徒拔道,香港","VILLA MONTE ROSA,Block B,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block B),STUBBS RD|玫瑰新村B座,司徒拔道","VILLA MONTE ROSA(Block B),STUBBS RD|玫瑰新村B座,司徒拔道|11|1consid19.9",11,28400.511694225606
1314,7041701580027,PRO-ASP,2007-03-28,RES,blank,1976/07,25.5,0,1920,0,13281.25,CPS 36 ON LG/F ,blank,2106861,7041701580027,A,4.0,blank,blank,blank,,blank,,STUBBS RD,司徒拔道,47A,blank,HP,IL8369,||Phase |Block ,司徒拔道|Phase|Block,司徒拔道|Phase|Block|4|A,山頂,1976,44,,47A STUBBS RD,47A 司徒拔道,"47A STUBBS RD,Hong Kong",47A STUBBS RD|47A 司徒拔道,47A 司徒拔道,47A STUBBS RD,"司徒拔道,香港","STUBBS RD,Hong Kong",47A STUBBS RD|47A 司徒拔道,47A STUBBS RD|47A 司徒拔道|4|Aconsid25.5,4,40990.60417008118
1323,7050500590324,ASP,2007-04-16,RES,blank,1965/04,28.3,0,2580,0,10968.992248062015,CPS 215 ,blank,2122575,7050500590324,1,10.0,A,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550,VILLA MONTE ROSA||Phase |Block A,司徒拔道VILLA MONTE ROSA|Phase|BlockA,司徒拔道VILLA MONTE ROSA|Phase|BlockA|10|1,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD","玫瑰新村,A座,司徒拔道,香港","VILLA MONTE ROSA,Block A,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道|10|1consid28.3",10,33469.36855330525
1325,7051101400064,ASP,2007-05-04,RES,blank,1965/04,21.88,2217,2062,9869,10611.05722599418,CPS 94 ,blank,2128641,7051101400064,2,9.0,D,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550,VILLA MONTE ROSA||Phase |Block D,司徒拔道VILLA MONTE ROSA|Phase|BlockD,司徒拔道VILLA MONTE ROSA|Phase|BlockD|9|2,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村D座,司徒拔道","VILLA MONTE ROSA(Block D),STUBBS RD","玫瑰新村,D座,司徒拔道,香港","VILLA MONTE ROSA,Block D,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block D),STUBBS RD|玫瑰新村D座,司徒拔道","VILLA MONTE ROSA(Block D),STUBBS RD|玫瑰新村D座,司徒拔道|9|2consid21.88",9,32342.348331419707
1328,7051901500079,ASP,2007-04-27,RES,blank,1972/08,16.5,1720,1520,9593,10855.263157894737,CPS G60 ,blank,2136962,7051901500079,1,15.0,E,blank,blank,,EVERGREEN VILLA,松柏新村,STUBBS RD,司徒拔道,43,blank,HP,IL7891,EVERGREEN VILLA||Phase |Block E,司徒拔道EVERGREEN VILLA|Phase|BlockE,司徒拔道EVERGREEN VILLA|Phase|BlockE|15|1,山頂,1972,48,,43 STUBBS RD,43 司徒拔道,"43 STUBBS RD,Hong Kong",43 STUBBS RD|43 司徒拔道,"松柏新村E座,司徒拔道","EVERGREEN VILLA(Block E),STUBBS RD","松柏新村,E座,司徒拔道,香港","EVERGREEN VILLA,Block E,STUBBS RD,Hong Kong","EVERGREEN VILLA(Block E),STUBBS RD|松柏新村E座,司徒拔道","EVERGREEN VILLA(Block E),STUBBS RD|松柏新村E座,司徒拔道|15|1consid16.5",15,33122.35027232203
1329,7052301960069,ASP,2007-04-30,RES,blank,1970/03,16.2,0,1075,0,15069.767441860466,CPS C16 ,blank,2139500,7052301960069,2,8.0,C,blank,blank,,VILLA VERDE,環翠園,GUILDFORD RD,僑福道,4,18,HP,RBL802,VILLA VERDE||Phase |Block C,僑福道VILLA VERDE|Phase|BlockC,僑福道VILLA VERDE|Phase|BlockC|8|2,山頂,1970,50,,4-18 GUILDFORD RD,4-18 僑福道,"4-18 GUILDFORD RD,Hong Kong",4-18 GUILDFORD RD|4-18 僑福道,"環翠園C座,僑福道","VILLA VERDE(Block C),GUILDFORD RD","環翠園,C座,僑福道,香港","VILLA VERDE,Block C,GUILDFORD RD,Hong Kong","VILLA VERDE(Block C),GUILDFORD RD|環翠園C座,僑福道","VILLA VERDE(Block C),GUILDFORD RD|環翠園C座,僑福道|8|2consid16.2",8,45981.94520680241
1330,7052800040041,ASP,2007-05-21,RES,blank,1990/11,22.0,1993,1662,11039,13237.063778580025,CPS 17 ON CPL3/F ,blank,2141836,7052800040041,2,8.0,B,blank,blank,,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,8,blank,HP,IL8666,NICHOLSON TOWER||Phase |Block B,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB|8|2,山頂,1990,30,,8 WONG NAI CHUNG GAP RD,8 黃泥涌峽道,"8 WONG NAI CHUNG GAP RD,Hong Kong",8 WONG NAI CHUNG GAP RD|8 黃泥涌峽道,"蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD","蔚豪苑,B座,黃泥涌峽道,香港","NICHOLSON TOWER,Block B,WONG NAI CHUNG GAP RD,Hong Kong","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道|8|2consid22.0",8,40346.37816892391
1333,7060101430023,PRO-ASP,2007-05-06,RES,blank,1990/11,21.88,1993,1662,10978,13164.861612515042,GFA INCL BW:63 SFCPS 4 ON CPL3/F ,blank,2147560,7060101430023,1,14.0,A,blank,blank,,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,8,blank,HP,IL8666,NICHOLSON TOWER||Phase |Block A,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA|14|1,山頂,1990,30,,8 WONG NAI CHUNG GAP RD,8 黃泥涌峽道,"8 WONG NAI CHUNG GAP RD,Hong Kong",8 WONG NAI CHUNG GAP RD|8 黃泥涌峽道,"蔚豪苑A座,黃泥涌峽道","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD","蔚豪苑,A座,黃泥涌峽道,香港","NICHOLSON TOWER,Block A,WONG NAI CHUNG GAP RD,Hong Kong","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道|14|1consid21.88",14,40126.30701527524
1334,7060601010060,ASP,2007-05-25,RES,blank,1990/11,21.5,1993,1662,10788,12936.221419975933,GFA INCL BW:63 SFCPS 20 ON P1/F ,blank,2151637,7060601010060,2,8.0,A,blank,blank,,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,8,blank,HP,IL8666,NICHOLSON TOWER||Phase |Block A,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA|8|2,山頂,1990,30,,8 WONG NAI CHUNG GAP RD,8 黃泥涌峽道,"8 WONG NAI CHUNG GAP RD,Hong Kong",8 WONG NAI CHUNG GAP RD|8 黃泥涌峽道,"蔚豪苑A座,黃泥涌峽道","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD","蔚豪苑,A座,黃泥涌峽道,香港","NICHOLSON TOWER,Block A,WONG NAI CHUNG GAP RD,Hong Kong","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道|8|2consid21.5",8,39429.415028721094
1339,7061300960345,ASP,2007-05-29,RES,blank,2003/01,62.32,0,2739,0,22752.829499817453,+A/C RM:71 SFCPS 4445 ON 5/F ,blank,2158494,7061300960345,A,43.0,blank,blank,HIGHCLIFF,曉廬,blank,,STUBBS RD,司徒拔道,41D,blank,HP,IL8290RP,|HIGHCLIFF曉廬|Phase |Block ,司徒拔道HIGHCLIFF曉廬|Phase|Block,司徒拔道HIGHCLIFF曉廬|Phase|Block|43|A,山頂,2003,17,HIGHCLIFF曉廬,41D STUBBS RD,41D 司徒拔道,"41D STUBBS RD,Hong Kong",41D STUBBS RD|41D 司徒拔道,"曉廬,司徒拔道","HIGHCLIFF,STUBBS RD","曉廬,司徒拔道,香港","HIGHCLIFF,STUBBS RD,Hong Kong","HIGHCLIFF,STUBBS RD|曉廬,司徒拔道","HIGHCLIFF,STUBBS RD|曉廬,司徒拔道|43|Aconsid62.32",43,69350.29389963087
1343,7062702510029,ASP,2007-06-13,RES,blank,2003/01,64.0,0,2739,0,23366.192040890837,+A/C RM:71 SFCPS 1920 ON 5/F ,blank,2172293,7062702510029,A,46.0,blank,blank,HIGHCLIFF,曉廬,blank,,STUBBS RD,司徒拔道,41D,blank,HP,IL8290RP,|HIGHCLIFF曉廬|Phase |Block ,司徒拔道HIGHCLIFF曉廬|Phase|Block,司徒拔道HIGHCLIFF曉廬|Phase|Block|46|A,山頂,2003,17,HIGHCLIFF曉廬,41D STUBBS RD,41D 司徒拔道,"41D STUBBS RD,Hong Kong",41D STUBBS RD|41D 司徒拔道,"曉廬,司徒拔道","HIGHCLIFF,STUBBS RD","曉廬,司徒拔道,香港","HIGHCLIFF,STUBBS RD,Hong Kong","HIGHCLIFF,STUBBS RD|曉廬,司徒拔道","HIGHCLIFF,STUBBS RD|曉廬,司徒拔道|46|Aconsid64.0",46,71458.32642929054
1347,7070901290167,PRO-ASP,2007-06-13,RES,blank,1965/04,31.0,0,2580,0,12015.503875968992,blank,blank,2182104,7070901290167,1,19.0,A,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,IL3550,VILLA MONTE ROSA||Phase |Block A,司徒拔道VILLA MONTE ROSA|Phase|BlockA,司徒拔道VILLA MONTE ROSA|Phase|BlockA|19|1,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD","玫瑰新村,A座,司徒拔道,香港","VILLA MONTE ROSA,Block A,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道|19|1consid31.0",19,36745.73061279451
1349,7071000380019,PRO-ASP,2007-06-27,RES,blank,1990/11,24.8,1993,1662,12444,14921.780986762937,CPS 20 ON CPL3/F ,blank,2183448,7071000380019,1,18.0,B,blank,blank,,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,8,blank,HP,IL8666,NICHOLSON TOWER||Phase |Block B,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB|18|1,山頂,1990,30,,8 WONG NAI CHUNG GAP RD,8 黃泥涌峽道,"8 WONG NAI CHUNG GAP RD,Hong Kong",8 WONG NAI CHUNG GAP RD|8 黃泥涌峽道,"蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD","蔚豪苑,B座,黃泥涌峽道,香港","NICHOLSON TOWER,Block B,WONG NAI CHUNG GAP RD,Hong Kong","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道|18|1consid24.8",18,45633.68711480618
1350,7071002030356,ASP,2007-06-18,RES,blank,2003/01,65.8,0,2714,0,24244.657332350773,CPS 2324 ON 5/F ,blank,2184553,7071002030356,B,50.0,blank,blank,HIGHCLIFF,曉廬,blank,,STUBBS RD,司徒拔道,41D,blank,HP,IL8290RP,|HIGHCLIFF曉廬|Phase |Block ,司徒拔道HIGHCLIFF曉廬|Phase|Block,司徒拔道HIGHCLIFF曉廬|Phase|Block|50|B,山頂,2003,17,HIGHCLIFF曉廬,41D STUBBS RD,41D 司徒拔道,"41D STUBBS RD,Hong Kong",41D STUBBS RD|41D 司徒拔道,"曉廬,司徒拔道","HIGHCLIFF,STUBBS RD","曉廬,司徒拔道,香港","HIGHCLIFF,STUBBS RD,Hong Kong","HIGHCLIFF,STUBBS RD|曉廬,司徒拔道","HIGHCLIFF,STUBBS RD|曉廬,司徒拔道|50|Bconsid65.8",50,74144.84289051332
